Questions,Answers
stop thinking about what the point is.,okay. i'll start thinking about having some fun.
okay. i'll start thinking about having some fun.,just be patient. fun doesn't come along every five minutes.
beer is a powerful drug.,so are cigarettes.
so are cigarettes.,which would you prefer?
which would you prefer?,what do you mean?
what do you mean?,"when you die and go to heaven, they will offer you beer or cigarettes."
"when you die and go to heaven, they will offer you beer or cigarettes.",i could pick only one or the other?
i could pick only one or the other?,"yes. nothing's perfect, not even in heaven."
"yes. nothing's perfect, not even in heaven.","boy, that's a tough one."
"boy, that's a tough one.","what's so tough about it? of course, i would pick cigarettes."
"what's so tough about it? of course, i would pick cigarettes.",but cigarettes taste much better when you have a cold beer.
but cigarettes taste much better when you have a cold beer.,"well, you can't have everything."
"well, you can't have everything.",i don't think i want to go to your heaven.
my pants have a hole in the front pocket.,you shouldn't carry pens in your pocket.
you shouldn't carry pens in your pocket.,yesterday a pen fell through my pants onto my shoe.
yesterday a pen fell through my pants onto my shoe.,lucky for you it wasn't a sharp knife.
lucky for you it wasn't a sharp knife.,who carries a sharp knife in their pocket?
who carries a sharp knife in their pocket?,"criminals, of course."
"criminals, of course.","anyway, i have to fix the hole."
"anyway, i have to fix the hole.",you can sew it up or use an iron-on patch.
you can sew it up or use an iron-on patch.,tell me about this patch.
tell me about this patch.,the patch has glue. the hot iron melts the glue so the patch sticks on.
the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
that sounds a lot easier than sewing.,"it is. but after about ten washings, the glue washes off."
do you know any good jokes?,i can't remember jokes.
i can't remember jokes.,neither can i.
neither can i.,they go in one ear and out the other.
they go in one ear and out the other.,who makes up all these jokes?
who makes up all these jokes?,who knows? but there must be a hundred new ones every day.
who knows? but there must be a hundred new ones every day.,"yes, just in english alone."
"yes, just in english alone.",i wonder if every language has jokes.
i wonder if every language has jokes.,of course! people everywhere like good jokes.
of course! people everywhere like good jokes.,what do you think people joke about the most?
what do you think people joke about the most?,i think most jokes are about women.
i think most jokes are about women.,"oh, really? i think most jokes are about men!"
you're very lucky.,why do you say that?
why do you say that?,you speak two languages.
you speak two languages.,"well, my english isn't perfect."
"well, my english isn't perfect.",no one speaks perfect english.
no one speaks perfect english.,maybe i will be the first!
maybe i will be the first!,i've been thinking about learning spanish.
i've been thinking about learning spanish.,spanish is easy. i'll be happy to teach you.
spanish is easy. i'll be happy to teach you.,how long will it take me to learn?
how long will it take me to learn?,i think it will only take you a year or two.
i think it will only take you a year or two.,how soon can we begin?
how soon can we begin?,ahora! that means right now.
do you know what today is?,"yes, it's april 22."
"yes, it's april 22.",it's more than just a date.
it's more than just a date.,is it your birthday or anniversary?
is it your birthday or anniversary?,"no, it's earth day."
"no, it's earth day.",what's that?
what's that?,it's a yearly reminder to take care of our planet.
it's a yearly reminder to take care of our planet.,"oh, you mean like reuse things and recycle stuff?"
"oh, you mean like reuse things and recycle stuff?","yes. we need to think green, save water, and stop using plastic bags."
"yes. we need to think green, save water, and stop using plastic bags.",how about if i take shorter showers?
how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
"that's a good idea, because showers waste a lot of water.",from now on i'll spend only 20 minutes in the shower.
poetry sucks.,i don't know anyone who likes it.
i don't know anyone who likes it.,"some of it is okay, i guess."
"some of it is okay, i guess.","yes, the poems that rhyme and are easy to remember."
"yes, the poems that rhyme and are easy to remember.","like ""one, two, buckle my shoe."""
"like ""one, two, buckle my shoe.""",but people still write poems.
but people still write poems.,no one makes any money at it.
no one makes any money at it.,shakespeare was a poet.
shakespeare was a poet.,did he get rich from his poetry?
did he get rich from his poetry?,probably not.
probably not.,poems are a little bit like songs.
poems are a little bit like songs.,"yes, but songs have music. without music, songs would suck, too."
how smart are you?,i don't know. i think i'm average.
i don't know. i think i'm average.,did you ever take an iq test?
did you ever take an iq test?,"no, i never did. all i know is that i got a's and b's in school."
"no, i never did. all i know is that i got a's and b's in school.",i wish i was really smart.
i wish i was really smart.,don't be ridiculous.
don't be ridiculous.,what do you mean?
what do you mean?,"if you're going to make a wish, wish that you were really rich or famous."
"if you're going to make a wish, wish that you were really rich or famous.",don't you ever wonder what it's like to be super-smart?
don't you ever wonder what it's like to be super-smart?,it must be very lonely.
it must be very lonely.,why's that?
why's that?,"because if you're super-smart, no one understands what you're saying."
i missed the tv news last night. what was on?,nothing that would pass as news.
nothing that would pass as news.,what's the weather going to be like this weekend?
what's the weather going to be like this weekend?,"i don't know. whenever the weather comes on, i switch channels."
